
  The input file had          169  events
 station not found VTUR 
 station not found VIRH 
 station not found VKOL 
 station not found VBOK 
 station not found VTAM 
 station not found VBUT 
 station not found VSAR 
 station not found VAVU 
 station not found VASA 
 station not found VLEB 
 station not found VPOT 
 station not found VNAR 
 station not found VANG 
 station not found VWUS 
 station not found VEBE 
 station not found VSUL 
 station not found VSAL 
 station not found OS01 
 station not found OS08 
 station not found OS05 
 station not found OS02 
 station not found VESP 
 station not found OS04 
 station not found OS07 
 station not found OS06 
 station not found OS03 
# 2008  6  1  3 44 16.0 -15.193  166.901  29.3 0.0 0.0 0.0 0.1   19
VSAR   4.66 1.00 P
VANG   4.90 1.00 P
VBUT   5.34 1.00 P
VBUT   9.60 0.75 S
VLEB   5.72 0.75 P
VLEB  10.16 0.50 S
VKOL   5.93 1.00 P
VKOL  10.67 0.25 S
VIRH   7.67 1.00 P
VIRH  13.58 0.50 S
# 2008  6  1  3 47 53.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   20
# 2008  6  1  3 58 39.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   21
# 2008  6  1  4  5 35.9 -14.489  167.222 191.7 0.0 0.0 0.0 0.2   22
VKOL  26.09 0.75 P
VKOL  46.85 0.50 S
VSAR  26.55 1.00 P
VSAR  47.89 0.50 S
VTUR  26.90 0.75 P
VTUR  47.75 0.25 S
VANG  27.72 1.00 P
VANG  49.55 0.50 S
VBUT  27.65 0.75 P
VBUT  49.30 0.75 S
VLEB  50.29 0.75 S
VIRH  27.34 0.50 P
VTAM  28.00 0.75 P
VTAM  50.28 0.25 S
VWUS  28.83 1.00 P
VBOK  51.98 0.50 S
VSUL  29.62 1.00 P
VAVU  29.58 0.50 P
OS01  29.12 1.00 P
OS05  30.46 0.25 P
OS02  30.00 0.75 P
OS04  31.17 0.50 P
OS03  31.54 0.50 P
# 2008  6  1  4 14 18.4 -13.999  166.808 184.3 0.0 0.0 0.0 0.1   23
VSAR  29.16 0.75 P
VKOL  29.31 0.50 P
VIRH  31.76 0.25 P
OS01  31.50 0.50 P
OS02  32.97 0.75 P
OS04  34.53 0.75 P
OS03  34.08 0.75 P
# 2008  6  1  4 14 57.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   24
# 2008  6  1  4 29  3.3 -14.792  167.263 139.9 0.0 0.0 0.0 0.4   25
VKOL  18.91 0.75 P
VKOL  34.10 0.50 S
VSAR  19.43 0.75 P
VSAR  34.81 0.25 S
VTUR  19.20 0.25 P
VBUT  20.26 0.50 P
VBUT  36.47 0.50 S
VANG  21.02 0.75 P
VIRH  20.08 0.75 P
VIRH  36.05 0.25 S
VAVU  22.04 0.50 P
VASA  22.69 0.75 P
OS01  21.89 0.50 P
OS04  23.81 0.25 P
# 2008  6  1  4 46 12.7 -15.623  167.562 121.0 0.0 0.0 0.0 0.2   26
VASA  29.53 0.25 S
VPOT  17.06 0.50 P
VKOL  17.41 0.25 P
VKOL  31.92 0.25 S
VBUT  18.13 0.50 P
VSAR  18.44 0.75 P
VANG  18.65 0.25 P
# 2008  6  1  4 49 40.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   27
# 2008  6  1  5  5 35.4 -15.702  167.584 158.3 0.0 0.0 0.0 0.3   28
VASA  21.57 0.25 P
VASA  39.05 0.25 S
VBOK  37.60 0.75 S
VNAR  21.76 0.50 P
VPOT  21.52 0.75 P
VAVU  21.62 0.75 P
VIRH  20.83 1.00 P
VIRH  20.85 0.75 P
VESP  21.67 0.75 P
VKOL  21.93 0.75 P
VKOL  39.91 0.50 S
OS07  22.02 0.75 P
OS05  22.09 0.75 P
VBUT  22.59 1.00 P
VLEB  22.76 0.75 P
OS10  22.00 0.25 P
VSAR  22.91 1.00 P
VSAR  41.25 0.50 S
VANG  23.65 0.50 P
OS09  22.93 0.75 P
OS04  23.35 0.75 P
VWUS  25.04 0.75 P
OS01  24.45 0.75 P
OS03  24.62 0.75 P
# 2008  6  1  5  7  9.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   29
# 2008  6  1  5 11 50.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   30
# 2008  6  1  5 36  8.7 -15.601  167.372 109.9 0.0 0.0 0.0 0.2   31
VAVU  15.11 0.50 P
VAVU  26.79 0.50 S
VPOT  15.33 1.00 P
VKOL  15.23 0.25 P
VLEB  28.18 0.50 S
VSAR  16.25 1.00 P
# 2008  6  1  5 53  9.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   32
VKOL  18.74 0.50 P
VSAR  19.56 0.75 P
# 2008  6  1  6  9 57.0   0.000    0.000   0.0 0.0 0.0 0.0 0.0   33
# 2008  6  1  6 27 36.6 -15.481  167.733 116.1 0.0 0.0 0.0 0.1   34
VPOT  17.83 0.75 P
