 N#  STAT PH  dTime W1 W2     dZ    dLa    dLo    Mag SEED_name 
  8 VESPI  P   0.11  0  2   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 VESPI  S   0.65  2  3   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 VIRHO  P   0.05  0  1   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 VIRHO  S   0.33  1  2   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 VKOLH  P   0.00  0  1   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 VKOLH  S  -0.03  1  2   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 VLEBE  P   0.02  0  1   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 VLEBE  S  -0.19  1  3   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 VPOTO  P   0.00  0  1   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 VPOTO  S  -0.25  1  3   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 VSALE  P  -0.25  0  1   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 VSARA  P   0.03  0  1   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 VSARA  S  -0.53  1  2   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 VSULE  P   0.04  0  0   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 VTURT  P  -0.01  1  1   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 VWUSI  P   0.06  0  0   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  8 VWUSI  S  -1.05  2  2   -8.3    2.0    6.5    2.7 2008-06-01-0105-02S.VNRC__100_MSEED 
  9 OS08   P  -0.15  0  3  -17.1    6.8   15.1    2.1 2008-06-01-0115-19S.VNRC__100_MSEED 
